"Name","Occupied Public Housing and Rent Regulated Units"
St. George,Rent Regulated,2008,Number,6480.53857,501
South Beach,Public Housing,2008,Number,724.47842,502
South Beach,Rent Regulated,2008,Number,775.73101,502
Tottenville,Public Housing,2008,Number,0,503
Tottenville,Rent Regulated,2008,Number,2920.88072,503
Bronx,Public Housing,2008,Number,43475.11731,36005
Bronx,Rent Regulated,2008,Number,251177.62273,36005
Brooklyn,Public Housing,2008,Number,61092.41978,36047
Brooklyn,Rent Regulated,2008,Number,318015.88558,36047
Manhattan,Public Housing,2008,Number,59597.06026,36061
Manhattan,Rent Regulated,2008,Number,342939.46306,36061
Queens,Public Housing,2008,Number,16943.23251,36081
Queens,Rent Regulated,2008,Number,217270.6433,36081
Staten Island,Public Housing,2008,Number,2701.55105,36085
Staten Island,Rent Regulated,2008,Number,10177.1503,36085
New York City,Public Housing,2008,Number,183809.38091,3651000
New York City,Rent Regulated,2008,Number,1139580.76497,3651000
Battery Park/Tribeca,Public Housing,2011,Number,0,101
Battery Park/Tribeca,Rent Regulated,2011,Number,9623.53547,101
Greenwich Village,Public Housing,2011,Number,0,102
Greenwich Village,Rent Regulated,2011,Number,14206.30667,102
Lower East Side,Public Housing,2011,Number,13375.74901,103
Lower East Side,Rent Regulated,2011,Number,33778.38344,103
Chelsea/Clinton,Public Housing,2011,Number,1532.60785,104
Chelsea/Clinton,Rent Regulated,2011,Number,21537.67574,104
Midtown Business District,Public Housing,2011,Number,767.05356,105
Midtown Business District,Rent Regulated,2011,Number,10779.37255,105
Murray Hill/Stuyvesant,Public Housing,2011,Number,847.14766,106
Murray Hill/Stuyvesant,Rent Regulated,2011,Number,26154.27126,106
Upper West Side,Public Housing,2011,Number,5545.17025,107
Upper West Side,Rent Regulated,2011,Number,31156.08155,107
Upper East Side,Public Housing,2011,Number,1546.25074,108
Upper East Side,Rent Regulated,2011,Number,38665.11826,108
Manhattanville,Public Housing,2011,Number,4027.14005,109
Manhattanville,Rent Regulated,2011,Number,23713.89395,109
Central Harlem,Public Housing,2011,Number,8345.83678,110
Central Harlem,Rent Regulated,2011,Number,26494.65034,110
East Harlem,Public Housing,2011,Number,14738.65442,111
East Harlem,Rent Regulated,2011,Number,20374.44728,111
Washington Heights,Public Housing,2011,Number,2027.87668,112
Washington Heights,Rent Regulated,2011,Number,56196.36957,112
Mott Haven,Public Housing,2011,Number,10597.27052,201
Mott Haven,Rent Regulated,2011,Number,13809.05978,201
Hunts Point,Public Housing,2011,Number,6051.18196,202
Hunts Point,Rent Regulated,2011,Number,7885.1562,202
Morrisania,Public Housing,2011,Number,5229.51061,203
Morrisania,Rent Regulated,2011,Number,14176.94029,203
Concourse/Highbridge,Public Housing,2011,Number,777.47708,204
Concourse/Highbridge,Rent Regulated,2011,Number,40912.8008,204
University Heights,Public Housing,2011,Number,781.89099,205
University Heights,Rent Regulated,2011,Number,35318.24857,205
East Tremont,Public Housing,2011,Number,5459.37776,206
East Tremont,Rent Regulated,2011,Number,14800.09859,206
Bedford Park,Public Housing,2011,Number,0,207
Bedford Park,Rent Regulated,2011,Number,38695.25834,207
Riverdale,Public Housing,2011,Number,749.01368,208
Riverdale,Rent Regulated,2011,Number,22241.72885,208
Unionport/Soundview,Public Housing,2011,Number,9338.10164,209
Unionport/Soundview,Rent Regulated,2011,Number,22065.62829,209
Throgs Neck,Public Housing,2011,Number,1998.16349,210
Throgs Neck,Rent Regulated,2011,Number,9234.4719,210
Pelham Parkway,Public Housing,2011,Number,3620.28094,211
Pelham Parkway,Rent Regulated,2011,Number,17319.92117,211
Williamsbridge,Public Housing,2011,Number,3472.10982,212
Williamsbridge,Rent Regulated,2011,Number,13962.13944,212
Williamsburg/Greenpoint,Public Housing,2011,Number,4317.97582,301
Williamsburg/Greenpoint,Rent Regulated,2011,Number,24846.6355,301
Fort Greene/Brooklyn Hts,Public Housing,2011,Number,7044.31696,302
Fort Greene/Brooklyn Hts,Rent Regulated,2011,Number,13956.78716,302
Bedford Stuyvesant,Public Housing,2011,Number,7189.60704,303
Bedford Stuyvesant,Rent Regulated,2011,Number,16977.54786,303
Bushwick,Public Housing,2011,Number,5249.79284,304
Bushwick,Rent Regulated,2011,Number,15395.39072,304
East New York,Public Housing,2011,Number,6462.92352,305
East New York,Rent Regulated,2011,Number,14913.41308,305
Park Slope,Public Housing,2011,Number,3791.41288,306
Park Slope,Rent Regulated,2011,Number,12312.19285,306
Sunset Park,Public Housing,2011,Number,0,307
Sunset Park,Rent Regulated,2011,Number,15806.74161,307
Crown Heights North,Public Housing,2011,Number,3802.57606,308
Crown Heights North,Rent Regulated,2011,Number,22606.13724,308
Crown Heights South,Public Housing,2011,Number,0,309
Crown Heights South,Rent Regulated,2011,Number,30536.58787,309
Bay Ridge,Public Housing,2011,Number,0,310
Bay Ridge,Rent Regulated,2011,Number,18769.28933,310
Bensonhurst,Public Housing,2011,Number,0,311
Bensonhurst,Rent Regulated,2011,Number,22749.10246,311
Borough Park,Public Housing,2011,Number,0,312
Borough Park,Rent Regulated,2011,Number,15120.06479,312
Coney Island,Public Housing,2011,Number,5368.03592,313
Coney Island,Rent Regulated,2011,Number,20925.78078,313
Flatbush/Midwood,Public Housing,2011,Number,0,314
Flatbush/Midwood,Rent Regulated,2011,Number,31913.79705,314
Sheepshead Bay,Public Housing,2011,Number,1577.75776,315
Sheepshead Bay,Rent Regulated,2011,Number,17428.624,315
Brownsville,Public Housing,2011,Number,10365.66154,316
Brownsville,Rent Regulated,2011,Number,16238.9301,316
East Flatbush,Public Housing,2011,Number,760.31958,317
East Flatbush,Rent Regulated,2011,Number,18001.4775,317
Canarsie,Public Housing,2011,Number,6159.08585,318
Canarsie,Rent Regulated,2011,Number,4271.87959,318
Astoria,Public Housing,2011,Number,8619.00504,401
Astoria,Rent Regulated,2011,Number,32685.21211,401
Sunnyside/Woodside,Public Housing,2011,Number,0,402
Sunnyside/Woodside,Rent Regulated,2011,Number,22941.15312,402
Jackson Heights,Public Housing,2011,Number,0,403
Jackson Heights,Rent Regulated,2011,Number,19199.98136,403
Elmhurst/Corona,Public Housing,2011,Number,0,404
Elmhurst/Corona,Rent Regulated,2011,Number,19808.16882,404
Ridgewood/Glendale,Public Housing,2011,Number,0,405
Ridgewood/Glendale,Rent Regulated,2011,Number,13487.92843,405
Rego Park/Forest Hills,Public Housing,2011,Number,722.58908,406
Rego Park/Forest Hills,Rent Regulated,2011,Number,17952.34022,406
Flushing,Public Housing,2011,Number,0,407
Flushing,Rent Regulated,2011,Number,21342.125,407
Fresh Meadows/Briarwood,Public Housing,2011,Number,2358.7722,408
Fresh Meadows/Briarwood,Rent Regulated,2011,Number,15571.8478,408
Woodhaven,Public Housing,2011,Number,0,409
Woodhaven,Rent Regulated,2011,Number,8922.58533,409
Howard Beach,Public Housing,2011,Number,0,410
Howard Beach,Rent Regulated,2011,Number,521.75464,410
Bayside,Public Housing,2011,Number,0,411
Bayside,Rent Regulated,2011,Number,2848.55973,411
Jamaica/St. Albans,Public Housing,2011,Number,1551.19701,412
Jamaica/St. Albans,Rent Regulated,2011,Number,10671.41069,412
Queens Village,Public Housing,2011,Number,0,413
Queens Village,Rent Regulated,2011,Number,1991.66854,413
The Rockaways,Public Housing,2011,Number,3984.31512,414
The Rockaways,Rent Regulated,2011,Number,10416.29086,414
St. George,Public Housing,2011,Number,3128.14146,501
St. George,Rent Regulated,2011,Number,7001.21282,501
South Beach,Public Housing,2011,Number,1664.30158,502
South Beach,Rent Regulated,2011,Number,1545.24012,502
Tottenville,Public Housing,2011,Number,0,503
Tottenville,Rent Regulated,2011,Number,1541.94651,503
Bronx,Public Housing,2011,Number,48074.37849,36005
Bronx,Rent Regulated,2011,Number,250421.45222,36005
Brooklyn,Public Housing,2011,Number,62089.46577,36047
Brooklyn,Rent Regulated,2011,Number,332770.37949,36047
Manhattan,Public Housing,2011,Number,52753.487,36061
Manhattan,Rent Regulated,2011,Number,312680.10608,36061
Queens,Public Housing,2011,Number,17235.87845,36081
Queens,Rent Regulated,2011,Number,198361.02665,36081
Staten Island,Public Housing,2011,Number,4792.44304,36085
Staten Island,Rent Regulated,2011,Number,10088.39945,36085
New York City,Public Housing,2011,Number,184945.65275,3651000
New York City,Rent Regulated,2011,Number,1104321.36389,3651000
Battery Park/Tribeca,Public Housing,2014,Number,0,101
Battery Park/Tribeca,Rent Regulated,2014,Number,10539.92966,101
Greenwich Village,Public Housing,2014,Number,0,102
Greenwich Village,Rent Regulated,2014,Number,15559.09195,102
Lower East Side,Public Housing,2014,Number,14064.36792,103
Lower East Side,Rent Regulated,2014,Number,31510.80693,103
Chelsea/Clinton,Public Housing,2014,Number,1506.67168,104
Chelsea/Clinton,Rent Regulated,2014,Number,21822.66233,104
Midtown Business District,Public Housing,2014,Number,754.0728,105
Midtown Business District,Rent Regulated,2014,Number,10922.00523,105
Murray Hill/Stuyvesant,Public Housing,2014,Number,467.47502,106
Murray Hill/Stuyvesant,Rent Regulated,2014,Number,27270.83942,106
Upper West Side,Public Housing,2014,Number,5861.12452,107
Upper West Side,Rent Regulated,2014,Number,36093.87192,107
Upper East Side,Public Housing,2014,Number,1342.23433,108
Upper East Side,Rent Regulated,2014,Number,41488.05507,108
Manhattanville,Public Housing,2014,Number,4328.67343,109
Manhattanville,Rent Regulated,2014,Number,24722.02367,109
Central Harlem,Public Housing,2014,Number,8217.6832,110
Central Harlem,Rent Regulated,2014,Number,27450.51013,110
East Harlem,Public Housing,2014,Number,14820.44354,111
East Harlem,Rent Regulated,2014,Number,21075.9429,111
Washington Heights,Public Housing,2014,Number,2167.20854,112
Washington Heights,Rent Regulated,2014,Number,56126.1135,112
Mott Haven,Public Housing,2014,Number,10571.13119,201
Mott Haven,Rent Regulated,2014,Number,13480.68628,201
Hunts Point,Public Housing,2014,Number,6036.25605,202
Hunts Point,Rent Regulated,2014,Number,7697.65058,202
Morrisania,Public Housing,2014,Number,5484.9122,203
Morrisania,Rent Regulated,2014,Number,13909.35568,203
Concourse/Highbridge,Public Housing,2014,Number,849.6101,204
Concourse/Highbridge,Rent Regulated,2014,Number,38304.09365,204
University Heights,Public Housing,2014,Number,600.16335,205
University Heights,Rent Regulated,2014,Number,34794.43639,205
East Tremont,Public Housing,2014,Number,5726.00574,206
East Tremont,Rent Regulated,2014,Number,14520.75209,206
Bedford Park,Public Housing,2014,Number,0,207
Bedford Park,Rent Regulated,2014,Number,42190.40452,207
Riverdale,Public Housing,2014,Number,1854.92368,208
Riverdale,Rent Regulated,2014,Number,19948.26243,208
Unionport/Soundview,Public Housing,2014,Number,10918.58548,209
Unionport/Soundview,Rent Regulated,2014,Number,24648.17352,209
Throgs Neck,Public Housing,2014,Number,2317.43512,210
Throgs Neck,Rent Regulated,2014,Number,6564.00296,210
Pelham Parkway,Public Housing,2014,Number,3038.66568,211
Pelham Parkway,Rent Regulated,2014,Number,17220.02772,211
Williamsbridge,Public Housing,2014,Number,3656.76664,212
Williamsbridge,Rent Regulated,2014,Number,14634.08994,212
Williamsburg/Greenpoint,Public Housing,2014,Number,4530.02512,301
Williamsburg/Greenpoint,Rent Regulated,2014,Number,24906.3785,301
Fort Greene/Brooklyn Hts,Public Housing,2014,Number,7606.56926,302
Fort Greene/Brooklyn Hts,Rent Regulated,2014,Number,13036.40728,302
Bedford Stuyvesant,Public Housing,2014,Number,7291.83653,303
Bedford Stuyvesant,Rent Regulated,2014,Number,20661.28127,303
Bushwick,Public Housing,2014,Number,5343.00646,304
Bushwick,Rent Regulated,2014,Number,16603.31776,304
East New York,Public Housing,2014,Number,4388.97,305
East New York,Rent Regulated,2014,Number,13921.6282,305
Park Slope,Public Housing,2014,Number,3315.44,306
Park Slope,Rent Regulated,2014,Number,10938.0263,306
Sunset Park,Public Housing,2014,Number,0,307
Sunset Park,Rent Regulated,2014,Number,15475.40698,307
Crown Heights North,Public Housing,2014,Number,3810.48858,308
Crown Heights North,Rent Regulated,2014,Number,23159.46506,308
Crown Heights South,Public Housing,2014,Number,0,309
Crown Heights South,Rent Regulated,2014,Number,31481.92177,309
Bay Ridge,Public Housing,2014,Number,0,310
Bay Ridge,Rent Regulated,2014,Number,18736.77977,310
Bensonhurst,Public Housing,2014,Number,0,311
Bensonhurst,Rent Regulated,2014,Number,21162.09448,311
Borough Park,Public Housing,2014,Number,0,312
Borough Park,Rent Regulated,2014,Number,17741.71966,312
Coney Island,Public Housing,2014,Number,5752.59428,313
Coney Island,Rent Regulated,2014,Number,15044.03396,313
Flatbush/Midwood,Public Housing,2014,Number,0,314
Flatbush/Midwood,Rent Regulated,2014,Number,31032.53836,314
Sheepshead Bay,Public Housing,2014,Number,1362.01403,315
Sheepshead Bay,Rent Regulated,2014,Number,16071.55897,315
Brownsville,Public Housing,2014,Number,9685.451,316
Brownsville,Rent Regulated,2014,Number,16872.925,316
East Flatbush,Public Housing,2014,Number,724.91982,317
East Flatbush,Rent Regulated,2014,Number,18246.85286,317
Canarsie,Public Housing,2014,Number,6247.33412,318
Canarsie,Rent Regulated,2014,Number,4428.30906,318
Astoria,Public Housing,2014,Number,7722.9367,401
Astoria,Rent Regulated,2014,Number,33118.57633,401
Sunnyside/Woodside,Public Housing,2014,Number,0,402
Sunnyside/Woodside,Rent Regulated,2014,Number,22658.78706,402
Jackson Heights,Public Housing,2014,Number,0,403
Jackson Heights,Rent Regulated,2014,Number,19662.78088,403
Elmhurst/Corona,Public Housing,2014,Number,0,404
Elmhurst/Corona,Rent Regulated,2014,Number,19372.79836,404
Ridgewood/Glendale,Public Housing,2014,Number,0,405
Ridgewood/Glendale,Rent Regulated,2014,Number,14491.74233,405
Rego Park/Forest Hills,Public Housing,2014,Number,756.73308,406
Rego Park/Forest Hills,Rent Regulated,2014,Number,18700.62199,406
Flushing,Public Housing,2014,Number,0,407
Flushing,Rent Regulated,2014,Number,24369.00199,407
Fresh Meadows/Briarwood,Public Housing,2014,Number,2459.07336,408
Fresh Meadows/Briarwood,Rent Regulated,2014,Number,14546.3564,408
Woodhaven,Public Housing,2014,Number,0,409
Woodhaven,Rent Regulated,2014,Number,7658.29886,409
Howard Beach,Public Housing,2014,Number,0,410
Howard Beach,Rent Regulated,2014,Number,194.16724,410
Bayside,Public Housing,2014,Number,0,411
Bayside,Rent Regulated,2014,Number,2907.56446,411
Jamaica/St. Albans,Public Housing,2014,Number,1392.56387,412
Jamaica/St. Albans,Rent Regulated,2014,Number,10375.57561,412
Queens Village,Public Housing,2014,Number,0,413
Queens Village,Rent Regulated,2014,Number,1861.03342,413
The Rockaways,Public Housing,2014,Number,3525.56783,414
The Rockaways,Rent Regulated,2014,Number,11307.78528,414
St. George,Public Housing,2014,Number,2639.2635,501
St. George,Rent Regulated,2014,Number,10406.86516,501
South Beach,Public Housing,2014,Number,1713.308,502
South Beach,Rent Regulated,2014,Number,2169.5782,502
Tottenville,Public Housing,2014,Number,0,503
Tottenville,Rent Regulated,2014,Number,2112.99399,503
Bronx,Public Housing,2014,Number,51054.45523,36005
Bronx,Rent Regulated,2014,Number,247911.93576,36005
Brooklyn,Public Housing,2014,Number,60058.6492,36047
Brooklyn,Rent Regulated,2014,Number,329520.64524,36047
Manhattan,Public Housing,2014,Number,53529.95498,36061
Manhattan,Rent Regulated,2014,Number,324581.85271,36061
Queens,Public Housing,2014,Number,15856.87484,36081
Queens,Rent Regulated,2014,Number,201225.09021,36081
Staten Island,Public Housing,2014,Number,4352.5715,36085
Staten Island,Rent Regulated,2014,Number,14689.43735,36085
New York City,Public Housing,2014,Number,184852.50575,3651000
New York City,Rent Regulated,2014,Number,1117928.96127,3651000
Battery Park/Tribeca,Public Housing,2017,Number,0,101
Battery Park/Tribeca,Rent Regulated,2017,Number,9028.16784,101
Greenwich Village,Public Housing,2017,Number,0,102
Greenwich Village,Rent Regulated,2017,Number,13327.4223,102
Lower East Side,Public Housing,2017,Number,14855.86056,103
Lower East Side,Rent Regulated,2017,Number,25844.6744,103
Chelsea/Clinton,Public Housing,2017,Number,879.45875,104
Chelsea/Clinton,Rent Regulated,2017,Number,18213.66558,104
Midtown Business District,Public Housing,2017,Number,440.15955,105
Midtown Business District,Rent Regulated,2017,Number,9115.7416,105
Murray Hill/Stuyvesant,Public Housing,2017,Number,514.1897,106
Murray Hill/Stuyvesant,Rent Regulated,2017,Number,24229.31106,106
Upper West Side,Public Housing,2017,Number,5544.93342,107
Upper West Side,Rent Regulated,2017,Number,27295.81238,107
Upper East Side,Public Housing,2017,Number,1407.01818,108
Upper East Side,Rent Regulated,2017,Number,26324.88298,108
Manhattanville,Public Housing,2017,Number,3440.11292,109
Manhattanville,Rent Regulated,2017,Number,22904.50012,109
Central Harlem,Public Housing,2017,Number,9199.26574,110
Central Harlem,Rent Regulated,2017,Number,26607.61852,110
East Harlem,Public Housing,2017,Number,15846.98333,111
East Harlem,Rent Regulated,2017,Number,18668.11098,111
Washington Heights,Public Housing,2017,Number,2436.6624,112
Washington Heights,Rent Regulated,2017,Number,51782.6327,112
Mott Haven,Public Housing,2017,Number,9401.67239,201
Mott Haven,Rent Regulated,2017,Number,14912.70221,201
Hunts Point,Public Housing,2017,Number,5368.47957,202
Hunts Point,Rent Regulated,2017,Number,8515.35067,202
Morrisania,Public Housing,2017,Number,4918.72736,203
Morrisania,Rent Regulated,2017,Number,12979.54957,203
Concourse/Highbridge,Public Housing,2017,Number,260.56644,204
Concourse/Highbridge,Rent Regulated,2017,Number,38960.23185,204
University Heights,Public Housing,2017,Number,905.89586,205
University Heights,Rent Regulated,2017,Number,36632.53948,205
East Tremont,Public Housing,2017,Number,5134.9338,206
East Tremont,Rent Regulated,2017,Number,13550.07564,206
Bedford Park,Public Housing,2017,Number,0,207
Bedford Park,Rent Regulated,2017,Number,41233.38126,207
Riverdale,Public Housing,2017,Number,2094.90752,208
Riverdale,Rent Regulated,2017,Number,24262.96416,208
Unionport/Soundview,Public Housing,2017,Number,10542.20193,209
Unionport/Soundview,Rent Regulated,2017,Number,22793.50652,209
Throgs Neck,Public Housing,2017,Number,2694.76144,210
Throgs Neck,Rent Regulated,2017,Number,5473.66104,210
Pelham Parkway,Public Housing,2017,Number,2623.0721,211
Pelham Parkway,Rent Regulated,2017,Number,14936.63348,211
Williamsbridge,Public Housing,2017,Number,3152.1686,212
Williamsbridge,Rent Regulated,2017,Number,14157.72516,212
Williamsburg/Greenpoint,Public Housing,2017,Number,4129.5213,301
Williamsburg/Greenpoint,Rent Regulated,2017,Number,26560.32036,301
Fort Greene/Brooklyn Hts,Public Housing,2017,Number,7278.55507,302
Fort Greene/Brooklyn Hts,Rent Regulated,2017,Number,10729.28468,302
Bedford Stuyvesant,Public Housing,2017,Number,6954.30906,303
Bedford Stuyvesant,Rent Regulated,2017,Number,16566.01905,303
Bushwick,Public Housing,2017,Number,5079.762,304
Bushwick,Rent Regulated,2017,Number,12644.72022,304
East New York,Public Housing,2017,Number,7117.93552,305
East New York,Rent Regulated,2017,Number,12310.02279,305
Park Slope,Public Housing,2017,Number,3500.39837,306
Park Slope,Rent Regulated,2017,Number,7902.48843,306
Sunset Park,Public Housing,2017,Number,0,307
Sunset Park,Rent Regulated,2017,Number,11715.33898,307
Crown Heights North,Public Housing,2017,Number,4346.57878,308
Crown Heights North,Rent Regulated,2017,Number,19798.41899,308
Crown Heights South,Public Housing,2017,Number,0,309
Crown Heights South,Rent Regulated,2017,Number,29643.84998,309
Bay Ridge,Public Housing,2017,Number,0,310
Bay Ridge,Rent Regulated,2017,Number,18873.8421,310
Bensonhurst,Public Housing,2017,Number,0,311
Bensonhurst,Rent Regulated,2017,Number,22227.85992,311
Borough Park,Public Housing,2017,Number,0,312
Borough Park,Rent Regulated,2017,Number,15791.67606,312
Coney Island,Public Housing,2017,Number,5421.43184,313
Coney Island,Rent Regulated,2017,Number,19374.01402,313
Flatbush/Midwood,Public Housing,2017,Number,0,314
Flatbush/Midwood,Rent Regulated,2017,Number,31608.9446,314
Sheepshead Bay,Public Housing,2017,Number,1875.37586,315
Sheepshead Bay,Rent Regulated,2017,Number,17254.70867,315
Brownsville,Public Housing,2017,Number,9288.29012,316
Brownsville,Rent Regulated,2017,Number,15090.27992,316
East Flatbush,Public Housing,2017,Number,801.0312,317
East Flatbush,Rent Regulated,2017,Number,18036.3995,317
Canarsie,Public Housing,2017,Number,5593.05948,318
Canarsie,Rent Regulated,2017,Number,3781.55684,318
Astoria,Public Housing,2017,Number,8697.8029,401
Astoria,Rent Regulated,2017,Number,28450.33766,401
Sunnyside/Woodside,Public Housing,2017,Number,0,402
Sunnyside/Woodside,Rent Regulated,2017,Number,19530.40738,402
Jackson Heights,Public Housing,2017,Number,0,403
Jackson Heights,Rent Regulated,2017,Number,18890.2602,403
Elmhurst/Corona,Public Housing,2017,Number,0,404
Elmhurst/Corona,Rent Regulated,2017,Number,20536.3426,404
Ridgewood/Glendale,Public Housing,2017,Number,0,405
Ridgewood/Glendale,Rent Regulated,2017,Number,15503.9851,405
Rego Park/Forest Hills,Public Housing,2017,Number,895.3543,406
Rego Park/Forest Hills,Rent Regulated,2017,Number,17677.88558,406
Flushing,Public Housing,2017,Number,0,407
Flushing,Rent Regulated,2017,Number,20523.66998,407
Fresh Meadows/Briarwood,Public Housing,2017,Number,2187.94,408
Fresh Meadows/Briarwood,Rent Regulated,2017,Number,12063.41423,408
Woodhaven,Public Housing,2017,Number,0,409
Woodhaven,Rent Regulated,2017,Number,8550.34258,409
Howard Beach,Public Housing,2017,Number,0,410
Howard Beach,Rent Regulated,2017,Number,208.46676,410
Bayside,Public Housing,2017,Number,0,411
Bayside,Rent Regulated,2017,Number,3051.47268,411
Jamaica/St. Albans,Public Housing,2017,Number,1715.55266,412
Jamaica/St. Albans,Rent Regulated,2017,Number,10787.66992,412
Queens Village,Public Housing,2017,Number,0,413
