Neighborhood,Year,Tier II Homeless Shelter Capacity
Battery Park/Tribeca,2004,0
Greenwich Village,2004,0
Lower East Side,2004,222
Chelsea/Clinton,2004,171
Midtown Business District,2004,92
Murray Hill/Stuyvesant,2004,15
Upper West Side,2004,199
Upper East Side,2004,0
Manhattanville,2004,79
Central Harlem,2004,191
East Harlem,2004,116
Washington Heights,2004,0
Mott Haven,2004,210
Hunts Point,2004,239
Morrisania,2004,87
Concourse/Highbridge,2004,309
University Heights,2004,153
East Tremont,2004,212
Bedford Park,2004,97
Riverdale,2004,0
Unionport/Soundview,2004,18
Throgs Neck,2004,0
Pelham Parkway,2004,0
Williamsbridge,2004,0
Williamsburg/Greenpoint,2004,0
Fort Greene/Brooklyn Hts,2004,44
Bedford Stuyvesant,2004,17
Bushwick,2004,88
East New York,2004,429
Park Slope,2004,48
Sunset Park,2004,11
Crown Heights North,2004,114
Crown Heights South,2004,0
Bay Ridge,2004,0
Bensonhurst,2004,0
Borough Park,2004,0
Coney Island,2004,0
Flatbush/Midwood,2004,0
Sheepshead Bay,2004,0
Brownsville,2004,382
East Flatbush,2004,4
Canarsie,2004,98
Astoria,2004,0
Sunnyside/Woodside,2004,0
Jackson Heights,2004,0
Elmhurst/Corona,2004,0
Ridgewood/Glendale,2004,0
Rego Park/Forest Hills,2004,0
Flushing,2004,0
Fresh Meadows/Briarwood,2004,91
Woodhaven,2004,0
Howard Beach,2004,0
Bayside,2004,0
Jamaica/St. Albans,2004,342
Queens Village,2004,307
The Rockaways,2004,0
St. George,2004,46
South Beach,2004,0
Tottenville,2004,0
Manhattan,2004,1085
Bronx,2004,1325
Brooklyn,2004,1235
Queens,2004,740
Staten Island,2004,46
New York City,2004,4431
Battery Park/Tribeca,2005,0
Greenwich Village,2005,0
Lower East Side,2005,222
Chelsea/Clinton,2005,171
Midtown Business District,2005,92
Murray Hill/Stuyvesant,2005,0
Upper West Side,2005,199
Upper East Side,2005,0
Manhattanville,2005,79
Central Harlem,2005,210
East Harlem,2005,103
Washington Heights,2005,0
Mott Haven,2005,213
Hunts Point,2005,239
Morrisania,2005,174
Concourse/Highbridge,2005,309
University Heights,2005,153
East Tremont,2005,212
Bedford Park,2005,91
Riverdale,2005,0
Unionport/Soundview,2005,18
Throgs Neck,2005,0
Pelham Parkway,2005,0
Williamsbridge,2005,88
Williamsburg/Greenpoint,2005,0
Fort Greene/Brooklyn Hts,2005,44
Bedford Stuyvesant,2005,33
Bushwick,2005,187
East New York,2005,410
Park Slope,2005,48
Sunset Park,2005,6
Crown Heights North,2005,114
Crown Heights South,2005,33
Bay Ridge,2005,0
Bensonhurst,2005,0
Borough Park,2005,0
Coney Island,2005,0
Flatbush/Midwood,2005,0
Sheepshead Bay,2005,0
Brownsville,2005,454
East Flatbush,2005,0
Canarsie,2005,98
Astoria,2005,0
Sunnyside/Woodside,2005,0
Jackson Heights,2005,0
Elmhurst/Corona,2005,0
Ridgewood/Glendale,2005,0
Rego Park/Forest Hills,2005,0
Flushing,2005,0
Fresh Meadows/Briarwood,2005,91
Woodhaven,2005,0
Howard Beach,2005,0
Bayside,2005,0
Jamaica/St. Albans,2005,65
Queens Village,2005,307
The Rockaways,2005,0
St. George,2005,46
South Beach,2005,0
Tottenville,2005,0
Manhattan,2005,1076
Bronx,2005,1497
Brooklyn,2005,1427
Queens,2005,463
Staten Island,2005,46
New York City,2005,4509
Battery Park/Tribeca,2007,0
Greenwich Village,2007,0
Lower East Side,2007,223
Chelsea/Clinton,2007,113
Midtown Business District,2007,92
Murray Hill/Stuyvesant,2007,0
Upper West Side,2007,197
Upper East Side,2007,0
Manhattanville,2007,0
Central Harlem,2007,58
East Harlem,2007,90
Washington Heights,2007,0
Mott Haven,2007,215
Hunts Point,2007,162
Morrisania,2007,174
Concourse/Highbridge,2007,309
University Heights,2007,126
East Tremont,2007,239
Bedford Park,2007,91
Riverdale,2007,0
Unionport/Soundview,2007,18
Throgs Neck,2007,97
Pelham Parkway,2007,0
Williamsbridge,2007,88
Williamsburg/Greenpoint,2007,0
Fort Greene/Brooklyn Hts,2007,234
Bedford Stuyvesant,2007,87
Bushwick,2007,248
East New York,2007,255
Park Slope,2007,0
Sunset Park,2007,6
Crown Heights North,2007,161
Crown Heights South,2007,40
Bay Ridge,2007,0
Bensonhurst,2007,0
Borough Park,2007,0
Coney Island,2007,0
Flatbush/Midwood,2007,0
Sheepshead Bay,2007,0
Brownsville,2007,498
East Flatbush,2007,121
Canarsie,2007,98
Astoria,2007,0
Sunnyside/Woodside,2007,0
Jackson Heights,2007,0
Elmhurst/Corona,2007,0
Ridgewood/Glendale,2007,0
Rego Park/Forest Hills,2007,0
Flushing,2007,0
Fresh Meadows/Briarwood,2007,91
Woodhaven,2007,0
Howard Beach,2007,0
Bayside,2007,0
Jamaica/St. Albans,2007,125
Queens Village,2007,337
The Rockaways,2007,0
St. George,2007,46
South Beach,2007,0
Tottenville,2007,0
Manhattan,2007,773
Bronx,2007,1519
Brooklyn,2007,1748
Queens,2007,553
Staten Island,2007,46
New York City,2007,4639
Battery Park/Tribeca,2008,0
Greenwich Village,2008,0
Lower East Side,2008,223
Chelsea/Clinton,2008,113
Midtown Business District,2008,92
Murray Hill/Stuyvesant,2008,0
Upper West Side,2008,197
Upper East Side,2008,0
Manhattanville,2008,0
Central Harlem,2008,58
East Harlem,2008,90
Washington Heights,2008,0
Mott Haven,2008,215
Hunts Point,2008,162
Morrisania,2008,174
Concourse/Highbridge,2008,309
University Heights,2008,126
East Tremont,2008,239
Bedford Park,2008,91
Riverdale,2008,0
Unionport/Soundview,2008,18
Throgs Neck,2008,97
Pelham Parkway,2008,0
Williamsbridge,2008,88
Williamsburg/Greenpoint,2008,0
Fort Greene/Brooklyn Hts,2008,234
Bedford Stuyvesant,2008,123
Bushwick,2008,212
East New York,2008,227
Park Slope,2008,0
Sunset Park,2008,6
Crown Heights North,2008,161
Crown Heights South,2008,48
Bay Ridge,2008,0
Bensonhurst,2008,0
Borough Park,2008,0
Coney Island,2008,0
Flatbush/Midwood,2008,0
Sheepshead Bay,2008,0
Brownsville,2008,498
East Flatbush,2008,121
Canarsie,2008,98
Astoria,2008,0
Sunnyside/Woodside,2008,0
Jackson Heights,2008,0
Elmhurst/Corona,2008,0
Ridgewood/Glendale,2008,0
Rego Park/Forest Hills,2008,0
Flushing,2008,0
Fresh Meadows/Briarwood,2008,91
Woodhaven,2008,0
Howard Beach,2008,0
Bayside,2008,0
Jamaica/St. Albans,2008,125
Queens Village,2008,337
The Rockaways,2008,0
St. George,2008,46
South Beach,2008,0
Tottenville,2008,0
Manhattan,2008,773
Bronx,2008,1519
Brooklyn,2008,1728
Queens,2008,553
Staten Island,2008,46
New York City,2008,4619
Battery Park/Tribeca,2009,0
Greenwich Village,2009,0
Lower East Side,2009,223
Chelsea/Clinton,2009,81
Midtown Business District,2009,101
Murray Hill/Stuyvesant,2009,0
Upper West Side,2009,197
Upper East Side,2009,0
Manhattanville,2009,0
Central Harlem,2009,58
East Harlem,2009,90
Washington Heights,2009,0
Mott Haven,2009,220
Hunts Point,2009,162
Morrisania,2009,174
Concourse/Highbridge,2009,309
University Heights,2009,126
East Tremont,2009,239
Bedford Park,2009,91
Riverdale,2009,0
Unionport/Soundview,2009,42
Throgs Neck,2009,97
Pelham Parkway,2009,0
Williamsbridge,2009,88
Williamsburg/Greenpoint,2009,0
Fort Greene/Brooklyn Hts,2009,227
Bedford Stuyvesant,2009,197
Bushwick,2009,212
East New York,2009,255
Park Slope,2009,0
Sunset Park,2009,6
Crown Heights North,2009,160
Crown Heights South,2009,45
Bay Ridge,2009,0
Bensonhurst,2009,0
Borough Park,2009,0
Coney Island,2009,0
Flatbush/Midwood,2009,0
Sheepshead Bay,2009,0
Brownsville,2009,558
East Flatbush,2009,121
Canarsie,2009,98
Astoria,2009,0
Sunnyside/Woodside,2009,0
Jackson Heights,2009,0
Elmhurst/Corona,2009,0
Ridgewood/Glendale,2009,0
Rego Park/Forest Hills,2009,0
Flushing,2009,0
Fresh Meadows/Briarwood,2009,91
Woodhaven,2009,0
Howard Beach,2009,0
Bayside,2009,0
Jamaica/St. Albans,2009,125
Queens Village,2009,337
The Rockaways,2009,0
St. George,2009,46
South Beach,2009,0
Tottenville,2009,0
Manhattan,2009,750
Bronx,2009,1548
Brooklyn,2009,1879
Queens,2009,553
Staten Island,2009,46
New York City,2009,4776
Battery Park/Tribeca,2010,0
Greenwich Village,2010,0
Lower East Side,2010,222
Chelsea/Clinton,2010,81
Midtown Business District,2010,101
Murray Hill/Stuyvesant,2010,0
Upper West Side,2010,194
Upper East Side,2010,0
Manhattanville,2010,155
Central Harlem,2010,58
East Harlem,2010,90
Washington Heights,2010,0
Mott Haven,2010,217
Hunts Point,2010,162
Morrisania,2010,174
Concourse/Highbridge,2010,309
University Heights,2010,126
East Tremont,2010,239
Bedford Park,2010,91
Riverdale,2010,0
Unionport/Soundview,2010,18
Throgs Neck,2010,97
Pelham Parkway,2010,0
Williamsbridge,2010,88
Williamsburg/Greenpoint,2010,0
Fort Greene/Brooklyn Hts,2010,227
Bedford Stuyvesant,2010,197
Bushwick,2010,260
East New York,2010,248
Park Slope,2010,0
Sunset Park,2010,6
Crown Heights North,2010,114
Crown Heights South,2010,45
Bay Ridge,2010,0
Bensonhurst,2010,0
Borough Park,2010,0
Coney Island,2010,0
Flatbush/Midwood,2010,0
Sheepshead Bay,2010,0
Brownsville,2010,557
East Flatbush,2010,121
Canarsie,2010,98
Astoria,2010,0
Sunnyside/Woodside,2010,0
Jackson Heights,2010,0
Elmhurst/Corona,2010,0
Ridgewood/Glendale,2010,0
Rego Park/Forest Hills,2010,0
Flushing,2010,0
Fresh Meadows/Briarwood,2010,91
Woodhaven,2010,0
Howard Beach,2010,0
Bayside,2010,0
Jamaica/St. Albans,2010,125
Queens Village,2010,337
The Rockaways,2010,0
St. George,2010,46
South Beach,2010,0
Tottenville,2010,0
Manhattan,2010,901
Bronx,2010,1521
Brooklyn,2010,1873
Queens,2010,553
Staten Island,2010,46
New York City,2010,4894
Battery Park/Tribeca,2011,0
Greenwich Village,2011,0
Lower East Side,2011,222
Chelsea/Clinton,2011,81
Midtown Business District,2011,101
Murray Hill/Stuyvesant,2011,0
Upper West Side,2011,194
Upper East Side,2011,0
Manhattanville,2011,230
Central Harlem,2011,185
East Harlem,2011,90
Washington Heights,2011,0
Mott Haven,2011,217
Hunts Point,2011,162
Morrisania,2011,174
Concourse/Highbridge,2011,309
University Heights,2011,120
East Tremont,2011,327
Bedford Park,2011,91
Riverdale,2011,0
Unionport/Soundview,2011,18
Throgs Neck,2011,135
Pelham Parkway,2011,0
Williamsbridge,2011,88
Williamsburg/Greenpoint,2011,0
Fort Greene/Brooklyn Hts,2011,215
Bedford Stuyvesant,2011,292
Bushwick,2011,212
East New York,2011,227
Park Slope,2011,0
Sunset Park,2011,6
Crown Heights North,2011,114
Crown Heights South,2011,45
Bay Ridge,2011,0
Bensonhurst,2011,0
Borough Park,2011,0
Coney Island,2011,0
Flatbush/Midwood,2011,0
Sheepshead Bay,2011,0
Brownsville,2011,479
East Flatbush,2011,121
Canarsie,2011,98
Astoria,2011,0
Sunnyside/Woodside,2011,0
Jackson Heights,2011,49
Elmhurst/Corona,2011,0
Ridgewood/Glendale,2011,0
Rego Park/Forest Hills,2011,0
Flushing,2011,0
Fresh Meadows/Briarwood,2011,91
Woodhaven,2011,0
Howard Beach,2011,0
Bayside,2011,0
Jamaica/St. Albans,2011,179
Queens Village,2011,337
The Rockaways,2011,0
St. George,2011,46
South Beach,2011,0
Tottenville,2011,0
Manhattan,2011,1103
Bronx,2011,1641
Brooklyn,2011,1809
Queens,2011,656
Staten Island,2011,46
New York City,2011,5255
