Neighborhood,Year,Median Rent,Median Income,RTI (%),Poverty Rate,Unemployment Rate,RTI_x_Unemployment,Population_x,Population_Growth_Rate,Evictions,Eviction Rate,Eviction Rate by Population
Astoria,2018,1736.89132,72043.60287,28.930668386490705,13.941,4.3999999999999995,127.29494090055908,160871.0,-0.020995490533772365,280.0,0.0032022690363457,0.1740525016939038
Battery Park/Tribeca,2018,2743.13463,158255.79521,20.800259173017615,6.625,3.7,76.96095894016518,61375.7862,0.020116524103420463,49.0,0.0011163765606488,0.0798360445279314
Bay Ridge,2018,1457.02322,77339.73274,22.607110240189847,15.868,3.5999999999999996,81.38559686468344,125200.0,0.013863695257838815,258.0,0.0049548684463222,0.2060702875399361
Bayside,2018,1889.64376,92226.15183,24.58708801143308,6.093,3.5000000000000004,86.0548080400158,115744.0,-0.024656610769360432,55.0,0.0012177571128085,0.0475186618744816
Bedford Park,2018,1219.88308,36691.56211,39.89635795857916,27.808,9.8,390.9843079940758,133784.0,-0.06796711717988013,1585.0,0.0304913239198184,1.1847455600071757
Bedford Stuyvesant,2018,1381.18111,58746.66365,28.212961026596105,27.036,5.800000000000001,163.63517395425743,155117.0,0.09216557415139381,1266.0,0.0179584657285519,0.8161581258018141
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,138570.0,-0.5909868391114719,335.0,0.0055479191163075,0.2417550696398932
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,138570.0,-0.5909868391114719,335.0,0.0055479191163075,0.0993614875686278
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,337152.7623,1.4330862546005627,335.0,0.0055479191163075,0.2417550696398932
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,337152.7623,1.4330862546005627,335.0,0.0055479191163075,0.0993614875686278
Brownsville,2018,968.85635,34660.91611,33.54289933682887,27.839,6.4,214.67455575570477,122128.0,0.09521033799356116,60.0,0.0016469038208168,0.0491287829162845
Canarsie,2018,1443.13664,77979.58385,22.20791497594021,9.614,4.8,106.59799188451301,195026.0,-0.0955819270347853,470.0,0.0072045005135122,0.2409935085578333
Central Harlem,2018,1135.49537,50961.63047,26.737654023886257,25.119000000000003,5.3,141.70956632659716,146309.0,-0.00768437758576257,570.0,0.0095732352496598,0.389586423254892
Chelsea/Clinton,2018,2178.05744,107973.5392,24.20656901093782,11.104,5.3,128.29481575797044,110265.3774,0.08525138494861006,271.0,0.0031821330859645,0.2457707091655046
Coney Island,2018,1156.85935,42481.19985,32.678719643084655,28.894,5.5,179.7329580369656,113339.0,-0.0710603316148809,470.0,0.0101247280325714,0.4146851480955364
East Flatbush,2018,1313.88458,62047.39808,25.410598103842357,10.211,4.8,121.97087089844331,135931.0,-0.029667278191409574,1127.0,0.0193909153475567,0.8290971154482789
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,110800.0,-0.024847911104135756,307.0,0.0053869099842077,0.2770758122743682
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,110800.0,-0.024847911104135756,307.0,0.0053869099842077,0.2710381847511569
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,113268.173,0.022275929602888045,307.0,0.0053869099842077,0.2770758122743682
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,113268.173,0.022275929602888045,307.0,0.0053869099842077,0.2710381847511569
East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,171170.0,-0.08185872000829386,916.0,0.0139201264360829,0.5351405035929193
East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,171170.0,-0.08185872000829386,916.0,0.0139201264360829,0.4957664111212901
East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,184764.4333,0.079420653736052,916.0,0.0139201264360829,0.5351405035929193
East New York,2018,1224.15588,44193.52259,33.23987249507915,21.732000000000003,5.6000000000000005,186.14328597244324,184764.4333,0.079420653736052,916.0,0.0139201264360829,0.4957664111212901
East Tremont,2018,1007.31151,28275.22341,42.750283330122066,37.658,13.3,568.5787682906235,89614.61208,-0.06709557357932683,1382.0,0.0418724435691561,1.5421592170329017
Flushing,2018,1545.68373,56790.79157,32.66058501251491,14.339,4.5,146.97263255631708,239000.0,-0.08176516240078069,314.0,0.0032619987533762,0.1313807531380753
Fort Greene/Brooklyn Hts,2018,2174.85285,115836.55089,22.530223836501527,15.926000000000002,5.1,114.90414156615778,145843.0,0.07677711821859967,368.0,0.005360524399126,0.252326131524996
Fresh Meadows/Briarwood,2018,1498.68298,75112.53815,23.943000999494256,12.98,7.1,169.99530709640922,164615.0,0.0019721104625329833,172.0,0.0029137726579705,0.1044862254351061
Greenwich Village,2018,2743.13463,158255.79521,20.800259173017615,6.625,3.7,76.96095894016518,90603.2138,0.020116524171247985,77.0,0.0013474258915759,0.0849859478163455
Jamaica/St. Albans,2018,1298.92979,68611.47998,22.71800212521811,13.062,7.1,161.29781508904858,241539.0,-0.03125162936016779,949.0,0.0123374934997399,0.3928972132864671
Lower East Side,2018,1156.85935,51675.1873,26.864560972766903,29.965000000000003,6.0,161.18736583660143,155408.0,-0.031665524331734085,207.0,0.0025428725861137,0.1331977761762586
Morrisania,2018,1007.31151,28275.22341,42.750283330122066,37.658,13.3,568.5787682906235,85841.38792,-0.06709557356919915,1239.0,0.0361878614405047,1.4433597009809391
Mott Haven,2018,889.80964,27483.68807,38.85110198021542,37.653,14.000000000000002,543.9154277230159,104393.1356,0.04890091258627538,757.0,0.019378951949415,0.7251434643179738
Murray Hill/Stuyvesant,2018,2535.90406,144097.88772,21.11817820614477,7.874,2.7,57.01908115659088,143582.0,-0.04070179189438383,127.0,0.0012781546265171,0.0884511986182112
Ridgewood/Glendale,2018,1587.34348,81960.76094,23.240537961750167,9.756,4.1000000000000005,95.28620564317569,186441.0,-0.06331295247760538,299.0,0.0045078321699407,0.1603724502657677
Riverdale,2018,1318.15737,58346.08908,27.110451941880186,18.824,8.7,235.8609318943576,119846.0,0.05831758534819231,234.0,0.0052974735126324,0.1952505715668441
South Beach,2018,1249.79265,96545.94796,15.534066542299245,9.346,3.8,59.02945286073713,137973.0,-0.04029464546554817,144.0,0.0029549372075843,0.1043682459611663
St. George,2018,1173.95053,78136.60908,18.029201069599324,16.952,5.5,99.16060588279629,174606.0,-0.01147017527967753,315.0,0.0048454829331323,0.180406171609223
Sunnyside/Woodside,2018,1757.1871,75907.27809,27.77895049141262,7.795000000000001,4.3,119.44948711307426,137490.0,0.027409544021162358,670.0,0.0099638624094701,0.4873081678667539
Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,132875.0,0.043261738294289254,113.0,0.0027270972101554,0.0850423330197554
Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,132875.0,0.043261738294289254,113.0,0.0027270972101554,0.0891722151631234
Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,126721.0866,-0.04631355333960496,113.0,0.0027270972101554,0.0850423330197554
Sunset Park,2018,1603.36647,66717.56343,28.83857960458494,17.142,5.3,152.84447190430018,126721.0866,-0.04631355333960496,113.0,0.0027270972101554,0.0891722151631234
The Rockaways,2018,1243.38345,64786.25992,23.03050279245075,16.398,7.5,172.72877094338062,127676.0,-0.040398042855746996,461.0,0.0100646231770151,0.3610702089664463
Throgs Neck,2018,1180.35972,58703.9357,24.128393558457784,12.702,7.1,171.31159426505025,119071.0,0.05005511706865384,972.0,0.0195817720294935,0.8163196748158661
Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,204469.0,-0.06711820337429508,177.0,0.0011861919218319,0.0865656896644479
Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,204469.0,-0.06711820337429508,177.0,0.0011861919218319,0.0807929453104638
Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,219078.5338,0.07145109429791319,177.0,0.0011861919218319,0.0865656896644479
Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,219078.5338,0.07145109429791319,177.0,0.0011861919218319,0.0807929453104638
Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,191222.0,-0.11619884016042559,217.0,0.0017017472317199,0.113480666450513
Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,191222.0,-0.11619884016042559,217.0,0.0017017472317199,0.1003310086422865
Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,216284.081,0.13106274905607096,217.0,0.0017017472317199,0.113480666450513
Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,216284.081,0.13106274905607096,217.0,0.0017017472317199,0.1003310086422865
Washington Heights,2018,1317.08918,57677.39661,27.402537369829457,18.401,8.3,227.44106016958452,214040.0,-0.02708206438240346,679.0,0.0093147678167226,0.317230424219772
Williamsbridge,2018,1337.38495,54759.07736,29.307687736395415,19.44,9.4,275.49226472211694,135799.0,-0.09714715014194442,717.0,0.013050363116798,0.5279862149205812
Williamsburg/Greenpoint,2018,1913.14413,86158.7824,26.645837975537596,23.708,2.4,63.950011141290226,162381.0,0.06828199628952247,491.0,0.0057022077183039,0.302375277895813
Woodhaven,2018,1646.09442,76692.40424,25.756309553400957,12.508,5.3,136.50844063302506,139079.0,-0.08670698633465324,461.0,0.0099777070752981,0.3314662889436939
